loan_size,interest_rate,borrower_income,debt_to_income,num_of_accounts,derogatory_marks,total_debt,loan_status
10700,7.672,52800,0.431818182,5,1,22800,0
8400,6.692,43600,0.311926606,3,0,13600,0
9000,6.963,46100,0.349240781,3,0,16100,0
10700,7.664,52700,0.430740038,5,1,22700,0
10800,7.698,53000,0.433962264,5,1,23000,0
10100,7.438,50600,0.407114625,4,1,20600,0
10300,7.49,51100,0.412915851,4,1,21100,0
8800,6.857,45100,0.33481153,3,0,15100,0
9300,7.096,47400,0.367088608,3,0,17400,0
9700,7.248,48800,0.385245902,4,0,18800,0
9300,7.085,47300,0.365750529,3,0,17300,0
9200,7.015,46600,0.356223176,3,0,16600,0
9200,7.043,46900,0.360341151,3,0,16900,0
9400,7.101,47400,0.367088608,3,0,17400,0
8400,6.703,43700,0.313501144,3,0,13700,0
9400,7.136,47700,0.371069182,3,0,17700,0
8900,6.897,45500,0.340659341,3,0,15500,0
8300,6.648,43200,0.305555556,2,0,13200,0
8000,6.539,42100,0.287410926,2,0,12100,0
10200,7.46,50800,0.409448819,4,1,20800,0
5200,5.326,30700,0.022801303,0,0,700,0
9300,7.068,47100,0.363057325,3,0,17100,0
7300,6.225,39200,0.234693878,2,0,9200,0
9000,6.943,45900,0.346405229,3,0,15900,0
8700,6.813,44700,0.32885906,3,0,14700,0
8800,6.85,45100,0.33481153,3,0,15100,0
8400,6.7,43700,0.313501144,3,0,13700,0
7900,6.482,41600,0.278846154,2,0,11600,0
9700,7.267,49000,0.387755102,4,0,19000,0
8400,6.7,43600,0.311926606,3,0,13600,0
7100,6.159,38600,0.222797927,1,0,8600,0
9600,7.216,48500,0.381443299,4,0,18500,0
10000,7.389,50100,0.401197605,4,1,20100,0
10400,7.553,51700,0.419729207,4,1,21700,0
9400,7.118,47600,0.369747899,3,0,17600,0
10100,7.437,50600,0.407114625,4,1,20600,0
8300,6.638,43100,0.303944316,2,0,13100,0
9800,7.296,49300,0.39148073,4,0,19300,0
9100,7.011,46600,0.356223176,3,0,16600,0
8100,6.561,42300,0.290780142,2,0,12300,0
8800,6.852,45100,0.33481153,3,0,15100,0
9100,6.981,46300,0.352051836,3,0,16300,0
10200,7.454,50700,0.408284024,4,1,20700,0
7200,6.173,38700,0.224806202,1,0,8700,0
8900,6.927,45800,0.344978166,3,0,15800,0
8400,6.684,43500,0.310344828,3,0,13500,0
9400,7.119,47600,0.369747899,3,0,17600,0
9300,7.072,47200,0.36440678,3,0,17200,0
11700,8.104,56900,0.472759227,6,1,26900,0
8300,6.653,43200,0.305555556,2,0,13200,0
10600,7.626,52400,0.427480916,5,1,22400,0
10400,7.551,51700,0.419729207,4,1,21700,0
8500,6.755,44200,0.321266968,3,0,14200,0
11100,7.829,54300,0.447513812,5,1,24300,0
8800,6.856,45100,0.33481153,3,0,15100,0
8500,6.728,43900,0.316628702,3,0,13900,0
10000,7.386,50100,0.401197605,4,1,20100,0
8200,6.605,42800,0.299065421,2,0,12800,0
8400,6.689,43500,0.310344828,3,0,13500,0
10100,7.419,50400,0.404761905,4,1,20400,0
10600,7.637,52500,0.428571429,5,1,22500,0
11200,7.869,54600,0.450549451,5,1,24600,0
10800,7.7,53100,0.435028249,5,1,23100,0
8800,6.872,45300,0.337748344,3,0,15300,0
8500,6.728,43900,0.316628702,3,0,13900,0
9600,7.22,48500,0.381443299,4,0,18500,0
10100,7.406,50300,0.403578529,4,1,20300,0
8600,6.773,44300,0.322799097,3,0,14300,0
9900,7.343,49700,0.39637827,4,0,19700,0
9900,7.311,49400,0.392712551,4,0,19400,0
7200,6.199,38900,0.228791774,2,0,8900,0
9200,7.044,46900,0.360341151,3,0,16900,0
8600,6.773,44300,0.322799097,3,0,14300,0
11100,7.853,54500,0.449541284,5,1,24500,0
8700,6.838,44900,0.331848552,3,0,14900,0
9300,7.072,47100,0.363057325,3,0,17100,0
7400,6.276,39700,0.244332494,2,0,9700,0
9200,7.055,47000,0.361702128,3,0,17000,0
10500,7.579,51900,0.421965318,4,1,21900,0
9800,7.277,49100,0.389002037,4,0,19100,0
8600,6.778,44400,0.324324324,3,0,14400,0
9400,7.106,47500,0.368421053,3,0,17500,0
10400,7.543,51600,0.418604651,4,1,21600,0
8700,6.804,44600,0.32735426,3,0,14600,0
7800,6.428,41100,0.270072993,2,0,11100,0
9300,7.063,47100,0.363057325,3,0,17100,0
10300,7.496,51100,0.412915851,4,1,21100,0
8400,6.7,43600,0.311926606,3,0,13600,0
10800,7.698,53000,0.433962264,5,1,23000,0
9600,7.19,48300,0.378881988,4,0,18300,0
8600,6.767,44300,0.322799097,3,0,14300,0
12400,8.404,59700,0.497487437,6,1,29700,0
8400,6.682,43500,0.310344828,3,0,13500,0
9400,7.11,47500,0.368421053,3,0,17500,0
9800,7.272,49000,0.387755102,4,0,19000,0
7500,6.294,39800,0.246231156,2,0,9800,0
8500,6.751,44100,0.319727891,3,0,14100,0
9200,7.054,47000,0.361702128,3,0,17000,0
10400,7.539,51500,0.417475728,4,1,21500,0
